date_time,place,longitude,latitude,rainfall
20200923_050000, Nigata,139.01833333,37.89333333,0.0
20200923_050000, Osaka,135.51833333,34.68166667,0.0
20200923_050000, Naha,127.68666667,26.20666667,2.0
20200923_050000, Sendai,140.89666667,38.26166667,0.0
20200923_050000, Tokyo,139.75,35.69166667,0.400000005960464
20200923_053000, Tokyo,139.75,35.69166667,0.400000005960464
20200923_053000, Naha,127.68666667,26.20666667,2.0
20200923_053000, Fukuoka,130.375,33.58166667,0.0
20200923_053000, Osaka,135.51833333,34.68166667,0.0
20200923_053000, Nigata,139.01833333,37.89333333,0.0
20200923_053000, Sendai,140.89666667,38.26166667,0.0
20200923_060000, Nigata,139.01833333,37.89333333,0.0
20200923_060000, Osaka,135.51833333,34.68166667,0.0
20200923_060000, Sendai,140.89666667,38.26166667,0.0
20200923_060000, Naha,127.68666667,26.20666667,2.0
20200923_060000, Tokyo,139.75,35.69166667,0.400000005960464
20200923_060000, Fukuoka,130.375,33.58166667,0.0
20200923_063000, Fukuoka,130.375,33.58166667,0.0
20200923_063000, Osaka,135.51833333,34.68166667,0.0
20200923_063000, Nigata,139.01833333,37.89333333,0.0
20200923_063000, Tokyo,139.75,35.69166667,0.400000005960464
20200923_063000, Naha,127.68666667,26.20666667,2.0
20200923_063000, Sendai,140.89666667,38.26166667,0.0
20200923_070000, Nigata,139.01833333,37.89333333,0.0
20200923_070000, Naha,127.68666667,26.20666667,1.0
20200923_070000, Fukuoka,130.375,33.58166667,0.0
20200923_070000, Osaka,135.51833333,34.68166667,0.0
20200923_070000, Sendai,140.89666667,38.26166667,0.0
20200923_070000, Tokyo,139.75,35.69166667,0.400000005960464
20200923_073000, Tokyo,139.75,35.69166667,0.400000005960464
20200923_073000, Nigata,139.01833333,37.89333333,0.0
20200923_073000, Naha,127.68666667,26.20666667,0.400000005960464
20200923_073000, Osaka,135.51833333,34.68166667,0.0
20200923_073000, Fukuoka,130.375,33.58166667,0.0
20200923_073000, Sendai,140.89666667,38.26166667,0.0
20200923_080000, Nigata,139.01833333,37.89333333,0.0
20200923_080000, Sendai,140.89666667,38.26166667,0.0
20200923_080000, Fukuoka,130.375,33.58166667,0.400000005960464
20200923_080000, Naha,127.68666667,26.20666667,0.400000005960464
20200923_080000, Osaka,135.51833333,34.68166667,0.0
20200923_080000, Tokyo,139.75,35.69166667,0.400000005960464
20200923_083000, Osaka,135.51833333,34.68166667,0.0
20200923_083000, Nigata,139.01833333,37.89333333,0.0
20200923_083000, Fukuoka,130.375,33.58166667,0.400000005960464
20200923_083000, Naha,127.68666667,26.20666667,0.0
20200923_083000, Sendai,140.89666667,38.26166667,0.0
20200923_083000, Tokyo,139.75,35.69166667,0.0
20200923_090000, Nigata,139.01833333,37.89333333,0.0
20200923_090000, Sendai,140.89666667,38.26166667,0.0
20200923_090000, Fukuoka,130.375,33.58166667,0.400000005960464
20200923_090000, Naha,127.68666667,26.20666667,0.0
20200923_090000, Osaka,135.51833333,34.68166667,0.0
20200923_090000, Tokyo,139.75,35.69166667,0.0
20200923_093000, Tokyo,139.75,35.69166667,0.0
20200923_093000, Osaka,135.51833333,34.68166667,0.0
20200923_093000, Sendai,140.89666667,38.26166667,2.0
20200923_093000, Fukuoka,130.375,33.58166667,0.400000005960464
20200923_093000, Naha,127.68666667,26.20666667,0.0
20200923_093000, Nigata,139.01833333,37.89333333,0.0
20200923_100000, Fukuoka,130.375,33.58166667,0.400000005960464
20200923_100000, Tokyo,139.75,35.69166667,0.400000005960464
20200923_100000, Nigata,139.01833333,37.89333333,0.0
20200923_100000, Naha,127.68666667,26.20666667,0.0
20200923_100000, Osaka,135.51833333,34.68166667,0.0
20200923_100000, Sendai,140.89666667,38.26166667,2.0
20200923_103000, Naha,127.68666667,26.20666667,0.0
20200923_103000, Tokyo,139.75,35.69166667,0.400000005960464
20200923_103000, Osaka,135.51833333,34.68166667,0.0
20200923_103000, Sendai,140.89666667,38.26166667,0.0
20200923_103000, Fukuoka,130.375,33.58166667,0.0
20200923_103000, Nigata,139.01833333,37.89333333,0.0
20200923_110000, Osaka,135.51833333,34.68166667,0.0
20200923_110000, Sendai,140.89666667,38.26166667,0.400000005960464
20200923_110000, Fukuoka,130.375,33.58166667,0.0
20200923_110000, Tokyo,139.75,35.69166667,0.400000005960464
20200923_110000, Naha,127.68666667,26.20666667,0.0
20200923_110000, Nigata,139.01833333,37.89333333,0.0
20200923_113000, Sendai,140.89666667,38.26166667,1.0
20200923_113000, Naha,127.68666667,26.20666667,0.0
20200923_113000, Osaka,135.51833333,34.68166667,0.0
20200923_113000, Tokyo,139.75,35.69166667,1.0
20200923_113000, Fukuoka,130.375,33.58166667,0.0
20200923_113000, Nigata,139.01833333,37.89333333,0.0
20200923_120000, Naha,127.68666667,26.20666667,0.0
20200923_120000, Nigata,139.01833333,37.89333333,0.0
20200923_120000, Fukuoka,130.375,33.58166667,0.0
20200923_120000, Sendai,140.89666667,38.26166667,1.0
20200923_120000, Tokyo,139.75,35.69166667,0.400000005960464
20200923_120000, Osaka,135.51833333,34.68166667,0.0
20200923_123000, Fukuoka,130.375,33.58166667,0.0
20200923_123000, Sendai,140.89666667,38.26166667,0.0
20200923_123000, Nigata,139.01833333,37.89333333,0.0
20200923_123000, Naha,127.68666667,26.20666667,0.0
20200923_123000, Tokyo,139.75,35.69166667,0.400000005960464
20200923_123000, Osaka,135.51833333,34.68166667,0.0
20200923_130000, Naha,127.68666667,26.20666667,0.0
20200923_130000, Sendai,140.89666667,38.26166667,0.0
20200923_130000, Fukuoka,130.375,33.58166667,0.0
20200923_130000, Osaka,135.51833333,34.68166667,0.0
20200923_130000, Nigata,139.01833333,37.89333333,0.0
20200923_130000, Tokyo,139.75,35.69166667,0.400000005960464
20200923_133000, Nigata,139.01833333,37.89333333,0.0
20200923_133000, Tokyo,139.75,35.69166667,0.400000005960464
20200923_133000, Fukuoka,130.375,33.58166667,0.0
20200923_133000, Sendai,140.89666667,38.26166667,0.0
20200923_133000, Osaka,135.51833333,34.68166667,0.0
20200923_133000, Naha,127.68666667,26.20666667,0.0
20200923_140000, Fukuoka,130.375,33.58166667,0.0
20200923_140000, Nigata,139.01833333,37.89333333,0.0
20200923_140000, Naha,127.68666667,26.20666667,0.0
20200923_140000, Osaka,135.51833333,34.68166667,0.0
20200923_140000, Sendai,140.89666667,38.26166667,0.0
20200923_140000, Tokyo,139.75,35.69166667,0.400000005960464
20200923_143000, Nigata,139.01833333,37.89333333,0.0
20200923_143000, Osaka,135.51833333,34.68166667,0.0
20200923_143000, Fukuoka,130.375,33.58166667,0.400000005960464
20200923_143000, Tokyo,139.75,35.69166667,0.400000005960464
20200923_143000, Naha,127.68666667,26.20666667,0.0
20200923_143000, Sendai,140.89666667,38.26166667,0.0
20200923_150000, Fukuoka,130.375,33.58166667,0.400000005960464
20200923_150000, Tokyo,139.75,35.69166667,0.400000005960464
20200923_150000, Naha,127.68666667,26.20666667,0.0
20200923_150000, Nigata,139.01833333,37.89333333,0.0
20200923_150000, Osaka,135.51833333,34.68166667,0.0
20200923_150000, Sendai,140.89666667,38.26166667,0.0
20200923_153000, Naha,127.68666667,26.20666667,0.0
20200923_153000, Osaka,135.51833333,34.68166667,0.0
20200923_153000, Sendai,140.89666667,38.26166667,0.400000005960464
20200923_153000, Nigata,139.01833333,37.89333333,0.0
20200923_153000, Tokyo,139.75,35.69166667,0.400000005960464
20200923_160000, Tokyo,139.75,35.69166667,2.0
20200923_160000, Fukuoka,130.375,33.58166667,0.400000005960464
20200923_160000, Osaka,135.51833333,34.68166667,0.0
20200923_160000, Nigata,139.01833333,37.89333333,0.0
20200923_160000, Sendai,140.89666667,38.26166667,0.400000005960464
20200923_160000, Naha,127.68666667,26.20666667,0.0
20200923_163000, Naha,127.68666667,26.20666667,0.0
20200923_163000, Sendai,140.89666667,38.26166667,0.0
20200923_163000, Osaka,135.51833333,34.68166667,0.0
20200923_163000, Tokyo,139.75,35.69166667,4.0
20200923_163000, Fukuoka,130.375,33.58166667,0.400000005960464
20200923_163000, Nigata,139.01833333,37.89333333,0.0
20200923_170000, Tokyo,139.75,35.69166667,3.0
20200923_170000, Osaka,135.51833333,34.68166667,0.0
20200923_170000, Nigata,139.01833333,37.89333333,0.0
20200923_170000, Fukuoka,130.375,33.58166667,0.400000005960464
20200923_170000, Sendai,140.89666667,38.26166667,0.0
20200923_170000, Naha,127.68666667,26.20666667,0.0
20200923_173000, Fukuoka,130.375,33.58166667,0.400000005960464
20200923_173000, Sendai,140.89666667,38.26166667,0.0
20200923_173000, Naha,127.68666667,26.20666667,0.0
20200923_173000, Nigata,139.01833333,37.89333333,0.0
20200923_173000, Osaka,135.51833333,34.68166667,0.0
20200923_173000, Tokyo,139.75,35.69166667,1.0
20200923_180000, Tokyo,139.75,35.69166667,0.400000005960464
20200923_180000, Nigata,139.01833333,37.89333333,0.0
20200923_180000, Fukuoka,130.375,33.58166667,0.400000005960464
20200923_180000, Sendai,140.89666667,38.26166667,0.0
20200923_180000, Naha,127.68666667,26.20666667,0.0
20200923_180000, Osaka,135.51833333,34.68166667,0.0
20200923_183000, Osaka,135.51833333,34.68166667,0.0
20200923_183000, Naha,127.68666667,26.20666667,0.0
20200923_183000, Sendai,140.89666667,38.26166667,0.0
20200923_183000, Fukuoka,130.375,33.58166667,0.400000005960464
20200923_183000, Tokyo,139.75,35.69166667,0.0
20200923_183000, Nigata,139.01833333,37.89333333,0.0
20200923_190000, Naha,127.68666667,26.20666667,0.0
20200923_190000, Fukuoka,130.375,33.58166667,0.0
20200923_190000, Tokyo,139.75,35.69166667,0.0
20200923_190000, Sendai,140.89666667,38.26166667,0.0
20200923_190000, Osaka,135.51833333,34.68166667,0.0
20200923_190000, Nigata,139.01833333,37.89333333,0.0
20200923_193000, Naha,127.68666667,26.20666667,0.0
20200923_193000, Sendai,140.89666667,38.26166667,0.0
20200923_193000, Nigata,139.01833333,37.89333333,0.0
20200923_193000, Osaka,135.51833333,34.68166667,0.0
20200923_193000, Tokyo,139.75,35.69166667,0.0
20200923_193000, Fukuoka,130.375,33.58166667,0.0
20200923_200000, Osaka,135.51833333,34.68166667,0.0
20200923_200000, Fukuoka,130.375,33.58166667,0.0
20200923_200000, Nigata,139.01833333,37.89333333,0.0
20200923_200000, Tokyo,139.75,35.69166667,0.0
20200923_200000, Naha,127.68666667,26.20666667,0.0
20200923_200000, Sendai,140.89666667,38.26166667,0.0
20200923_203000, Nigata,139.01833333,37.89333333,0.0
20200923_203000, Osaka,135.51833333,34.68166667,0.0
20200923_203000, Fukuoka,130.375,33.58166667,0.0
20200923_203000, Naha,127.68666667,26.20666667,0.0
20200923_203000, Sendai,140.89666667,38.26166667,0.0
20200923_203000, Tokyo,139.75,35.69166667,0.0
20200923_210000, Osaka,135.51833333,34.68166667,0.0
20200923_210000, Sendai,140.89666667,38.26166667,0.0
20200923_210000, Tokyo,139.75,35.69166667,0.0
20200923_210000, Naha,127.68666667,26.20666667,0.0
20200923_210000, Nigata,139.01833333,37.89333333,0.0
20200923_210000, Fukuoka,130.375,33.58166667,0.0
20200923_213000, Osaka,135.51833333,34.68166667,0.0
20200923_213000, Fukuoka,130.375,33.58166667,0.0
20200923_213000, Tokyo,139.75,35.69166667,0.400000005960464
20200923_213000, Naha,127.68666667,26.20666667,0.0
20200923_213000, Sendai,140.89666667,38.26166667,0.0
20200923_213000, Nigata,139.01833333,37.89333333,0.0
20200923_220000, Fukuoka,130.375,33.58166667,0.0
20200923_220000, Tokyo,139.75,35.69166667,1.0
20200923_220000, Naha,127.68666667,26.20666667,0.0
20200923_220000, Nigata,139.01833333,37.89333333,0.0
20200923_220000, Osaka,135.51833333,34.68166667,0.0
20200923_220000, Sendai,140.89666667,38.26166667,0.400000005960464
20200923_223000, Osaka,135.51833333,34.68166667,0.400000005960464
20200923_223000, Fukuoka,130.375,33.58166667,0.0
20200923_223000, Naha,127.68666667,26.20666667,0.0
20200923_223000, Tokyo,139.75,35.69166667,0.400000005960464
20200923_223000, Nigata,139.01833333,37.89333333,0.0
20200923_223000, Sendai,140.89666667,38.26166667,1.0
20200923_230000, Nigata,139.01833333,37.89333333,0.0
20200923_230000, Naha,127.68666667,26.20666667,0.0
20200923_230000, Fukuoka,130.375,33.58166667,0.0
20200923_230000, Tokyo,139.75,35.69166667,0.0
20200923_230000, Osaka,135.51833333,34.68166667,0.400000005960464
20200923_230000, Sendai,140.89666667,38.26166667,0.400000005960464
20200923_233000, Nigata,139.01833333,37.89333333,0.0
20200923_233000, Osaka,135.51833333,34.68166667,0.400000005960464
20200923_233000, Tokyo,139.75,35.69166667,0.0
20200923_233000, Fukuoka,130.375,33.58166667,0.0
20200923_233000, Sendai,140.89666667,38.26166667,0.0
20200923_233000, Naha,127.68666667,26.20666667,0.0
20200924_000000, Naha,127.68666667,26.20666667,0.0
20200924_000000, Nigata,139.01833333,37.89333333,0.0
20200924_000000, Sendai,140.89666667,38.26166667,0.0
20200924_000000, Fukuoka,130.375,33.58166667,0.400000005960464
20200924_000000, Tokyo,139.75,35.69166667,0.0
20200924_000000, Osaka,135.51833333,34.68166667,0.0
20200924_003000, Sendai,140.89666667,38.26166667,0.0
20200924_003000, Fukuoka,130.375,33.58166667,0.400000005960464
20200924_003000, Osaka,135.51833333,34.68166667,0.0
20200924_003000, Nigata,139.01833333,37.89333333,0.0
20200924_003000, Tokyo,139.75,35.69166667,0.0
20200924_003000, Naha,127.68666667,26.20666667,0.0
20200924_010000, Tokyo,139.75,35.69166667,0.400000005960464
20200924_010000, Fukuoka,130.375,33.58166667,1.0
20200924_010000, Sendai,140.89666667,38.26166667,0.0
20200924_010000, Osaka,135.51833333,34.68166667,0.0
20200924_010000, Nigata,139.01833333,37.89333333,0.0
20200924_010000, Naha,127.68666667,26.20666667,0.0
20200924_013000, Tokyo,139.75,35.69166667,0.400000005960464
20200924_013000, Osaka,135.51833333,34.68166667,0.0
20200924_013000, Naha,127.68666667,26.20666667,0.0
20200924_013000, Nigata,139.01833333,37.89333333,0.0
20200924_013000, Fukuoka,130.375,33.58166667,1.0
20200924_013000, Sendai,140.89666667,38.26166667,0.0
20200924_020000, Nigata,139.01833333,37.89333333,0.0
20200924_020000, Fukuoka,130.375,33.58166667,0.400000005960464
20200924_020000, Naha,127.68666667,26.20666667,0.0
20200924_020000, Tokyo,139.75,35.69166667,0.400000005960464
20200924_020000, Osaka,135.51833333,34.68166667,0.0
20200924_020000, Sendai,140.89666667,38.26166667,0.0
20200924_023000, Naha,127.68666667,26.20666667,0.0
20200924_023000, Nigata,139.01833333,37.89333333,0.0
20200924_023000, Osaka,135.51833333,34.68166667,0.0
20200924_023000, Sendai,140.89666667,38.26166667,0.0
20200924_023000, Fukuoka,130.375,33.58166667,0.0
20200924_023000, Tokyo,139.75,35.69166667,0.0
20200924_030000, Naha,127.68666667,26.20666667,0.0
20200924_030000, Nigata,139.01833333,37.89333333,0.0
20200924_030000, Fukuoka,130.375,33.58166667,0.0
20200924_030000, Tokyo,139.75,35.69166667,0.0
20200924_030000, Sendai,140.89666667,38.26166667,0.0
20200924_030000, Osaka,135.51833333,34.68166667,0.0
20200924_033000, Sendai,140.89666667,38.26166667,0.0
20200924_033000, Naha,127.68666667,26.20666667,0.0
20200924_033000, Nigata,139.01833333,37.89333333,0.0
20200924_033000, Fukuoka,130.375,33.58166667,0.400000005960464
20200924_033000, Osaka,135.51833333,34.68166667,0.0
20200924_033000, Tokyo,139.75,35.69166667,0.0
20200924_040000, Sendai,140.89666667,38.26166667,0.0
20200924_040000, Naha,127.68666667,26.20666667,0.0
20200924_040000, Tokyo,139.75,35.69166667,0.0
20200924_040000, Nigata,139.01833333,37.89333333,0.0
20200924_040000, Osaka,135.51833333,34.68166667,0.0
20200924_040000, Fukuoka,130.375,33.58166667,0.400000005960464
20200924_043000, Tokyo,139.75,35.69166667,0.0
20200924_043000, Sendai,140.89666667,38.26166667,0.0
20200924_043000, Nigata,139.01833333,37.89333333,0.0
20200924_043000, Fukuoka,130.375,33.58166667,0.400000005960464
20200924_043000, Osaka,135.51833333,34.68166667,0.0
20200924_043000, Naha,127.68666667,26.20666667,0.0
20200924_050000, Osaka,135.51833333,34.68166667,0.0
20200924_050000, Fukuoka,130.375,33.58166667,0.400000005960464
20200924_050000, Naha,127.68666667,26.20666667,0.0
20200924_050000, Sendai,140.89666667,38.26166667,0.0
20200924_050000, Nigata,139.01833333,37.89333333,0.0
20200924_050000, Tokyo,139.75,35.69166667,0.0
20200924_053000, Sendai,140.89666667,38.26166667,0.0
20200924_053000, Tokyo,139.75,35.69166667,0.0
20200924_053000, Nigata,139.01833333,37.89333333,0.0
20200924_053000, Naha,127.68666667,26.20666667,0.0
20200924_053000, Fukuoka,130.375,33.58166667,2.0
20200924_053000, Osaka,135.51833333,34.68166667,0.0
20200924_060000, Fukuoka,130.375,33.58166667,2.0
20200924_060000, Osaka,135.51833333,34.68166667,0.0
20200924_060000, Sendai,140.89666667,38.26166667,0.0
20200924_060000, Naha,127.68666667,26.20666667,0.0
20200924_060000, Nigata,139.01833333,37.89333333,0.0
20200924_060000, Tokyo,139.75,35.69166667,0.400000005960464
20200924_063000, Sendai,140.89666667,38.26166667,0.0
20200924_063000, Tokyo,139.75,35.69166667,1.0
20200924_063000, Naha,127.68666667,26.20666667,0.0
20200924_063000, Fukuoka,130.375,33.58166667,1.0
20200924_063000, Nigata,139.01833333,37.89333333,0.0
20200924_063000, Osaka,135.51833333,34.68166667,0.0
20200924_070000, Osaka,135.51833333,34.68166667,0.0
20200924_070000, Sendai,140.89666667,38.26166667,0.0
20200924_070000, Tokyo,139.75,35.69166667,1.0
20200924_070000, Naha,127.68666667,26.20666667,0.0
20200924_070000, Nigata,139.01833333,37.89333333,0.0
20200924_070000, Fukuoka,130.375,33.58166667,1.0
20200924_073000, Tokyo,139.75,35.69166667,1.0
20200924_073000, Nigata,139.01833333,37.89333333,0.0
20200924_073000, Sendai,140.89666667,38.26166667,0.0
20200924_073000, Fukuoka,130.375,33.58166667,1.0
20200924_073000, Naha,127.68666667,26.20666667,0.0
20200924_073000, Osaka,135.51833333,34.68166667,0.0
20200924_080000, Tokyo,139.75,35.69166667,1.0
20200924_080000, Nigata,139.01833333,37.89333333,0.0
20200924_080000, Fukuoka,130.375,33.58166667,2.0
20200924_080000, Sendai,140.89666667,38.26166667,0.0
20200924_080000, Osaka,135.51833333,34.68166667,0.0
20200924_080000, Naha,127.68666667,26.20666667,0.0
20200924_083000, Naha,127.68666667,26.20666667,0.0
20200924_083000, Tokyo,139.75,35.69166667,1.0
20200924_083000, Osaka,135.51833333,34.68166667,0.0
20200924_083000, Nigata,139.01833333,37.89333333,0.0
20200924_083000, Sendai,140.89666667,38.26166667,0.0
20200924_083000, Fukuoka,130.375,33.58166667,2.0
20200924_090000, Osaka,135.51833333,34.68166667,0.0
20200924_090000, Tokyo,139.75,35.69166667,1.0
20200924_090000, Sendai,140.89666667,38.26166667,0.0
20200924_090000, Naha,127.68666667,26.20666667,0.0
20200924_090000, Nigata,139.01833333,37.89333333,0.0
20200924_090000, Fukuoka,130.375,33.58166667,2.0
20200924_093000, Sendai,140.89666667,38.26166667,0.0
20200924_093000, Naha,127.68666667,26.20666667,0.0
20200924_093000, Fukuoka,130.375,33.58166667,2.0
20200924_093000, Osaka,135.51833333,34.68166667,0.0
20200924_093000, Nigata,139.01833333,37.89333333,0.0
20200924_093000, Tokyo,139.75,35.69166667,0.400000005960464
20200924_100000, Sendai,140.89666667,38.26166667,0.0
20200924_100000, Nigata,139.01833333,37.89333333,0.0
20200924_100000, Fukuoka,130.375,33.58166667,2.0
20200924_100000, Osaka,135.51833333,34.68166667,0.0
20200924_100000, Naha,127.68666667,26.20666667,0.0
20200924_100000, Tokyo,139.75,35.69166667,0.0
20200924_103000, Nigata,139.01833333,37.89333333,0.0
20200924_103000, Fukuoka,130.375,33.58166667,0.400000005960464
20200924_103000, Naha,127.68666667,26.20666667,0.0
20200924_103000, Osaka,135.51833333,34.68166667,0.0
20200924_103000, Sendai,140.89666667,38.26166667,0.0
20200924_110000, Sendai,140.89666667,38.26166667,0.0
20200924_110000, Nigata,139.01833333,37.89333333,0.0
20200924_110000, Osaka,135.51833333,34.68166667,0.0
20200924_110000, Tokyo,139.75,35.69166667,0.0
20200924_110000, Naha,127.68666667,26.20666667,0.0
20200924_110000, Fukuoka,130.375,33.58166667,0.400000005960464
